modele_marque;prix;localisation;Departements;Region
SEAT TARRACO;22490;1;Ain;Auvergne-Rhone-Alpes
SEAT TARRACO;22490;1;Ain;Auvergne-Rhone-Alpes
AUDI A1 (2E GENERATION) SPORTBACK;24480;1;Ain;Auvergne-Rhone-Alpes
AUDI A1 (2E GENERATION) SPORTBACK;15990;1;Ain;Auvergne-Rhone-Alpes
AUDI A1 (2E GENERATION) SPORTBACK;24480;1;Ain;Auvergne-Rhone-Alpes
AUDI A1 (2E GENERATION) SPORTBACK;15990;1;Ain;Auvergne-Rhone-Alpes
AUDI Q3;20500;1;Ain;Auvergne-Rhone-Alpes
AUDI Q3;20500;1;Ain;Auvergne-Rhone-Alpes
OPEL MOKKA 2;24490;1;Ain;Auvergne-Rhone-Alpes
OPEL MOKKA 2;24490;1;Ain;Auvergne-Rhone-Alpes
AUDI Q5 (2E GENERATION);51900;1;Ain;Auvergne-Rhone-Alpes
AUDI Q5 (2E GENERATION);51900;1;Ain;Auvergne-Rhone-Alpes
AUDI A6 (5E GENERATION) AVANT;41790;1;Ain;Auvergne-Rhone-Alpes
AUDI A6 (5E GENERATION) AVANT;41790;1;Ain;Auvergne-Rhone-Alpes
CITROEN C3 AIRCROSS;19180;1;Ain;Auvergne-Rhone-Alpes
CITROEN C3 AIRCROSS;19180;1;Ain;Auvergne-Rhone-Alpes
VOLKSWAGEN T-ROC;44440;1;Ain;Auvergne-Rhone-Alpes
VOLKSWAGEN T-ROC;44440;1;Ain;Auvergne-Rhone-Alpes
VOLKSWAGEN TIGUAN 2;38830;1;Ain;Auvergne-Rhone-Alpes
SUZUKI SWIFT 4 SPORT;26730;1;Ain;Auvergne-Rhone-Alpes
VOLKSWAGEN TIGUAN 2;38830;1;Ain;Auvergne-Rhone-Alpes
SUZUKI SWIFT 4 SPORT;26730;1;Ain;Auvergne-Rhone-Alpes
MINI PACEMAN;21120;1;Ain;Auvergne-Rhone-Alpes
MINI PACEMAN;21120;1;Ain;Auvergne-Rhone-Alpes
AUDI Q3 (2E GENERATION);43030;1;Ain;Auvergne-Rhone-Alpes
VOLKSWAGEN GOLF 7;28700;1;Ain;Auvergne-Rhone-Alpes
AUDI Q3 (2E GENERATION);43030;1;Ain;Auvergne-Rhone-Alpes
VOLKSWAGEN GOLF 7;28700;1;Ain;Auvergne-Rhone-Alpes
HYUNDAI IONIQ;28390;1;Ain;Auvergne-Rhone-Alpes
HYUNDAI IONIQ;28390;1;Ain;Auvergne-Rhone-Alpes
SEAT ARONA;33580;1;Ain;Auvergne-Rhone-Alpes
SEAT ARONA;33580;1;Ain;Auvergne-Rhone-Alpes
AUDI Q2;36340;1;Ain;Auvergne-Rhone-Alpes
AUDI Q2;36340;1;Ain;Auvergne-Rhone-Alpes
VOLKSWAGEN GOLF 8;47840;1;Ain;Auvergne-Rhone-Alpes
VOLKSWAGEN GOLF 8;47840;1;Ain;Auvergne-Rhone-Alpes
AUDI A3 (4E GENERATION) SPORTBACK;36610;1;Ain;Auvergne-Rhone-Alpes
SKODA ENYAQ COUPE;67970;1;Ain;Auvergne-Rhone-Alpes
AUDI A3 (4E GENERATION) SPORTBACK;36610;1;Ain;Auvergne-Rhone-Alpes
SKODA ENYAQ COUPE;67970;1;Ain;Auvergne-Rhone-Alpes
SEAT ARONA;21830;1;Ain;Auvergne-Rhone-Alpes
SEAT ARONA;21830;1;Ain;Auvergne-Rhone-Alpes
